"Username","Comment"
"JBG","ang bigyan mo ng pansin ang pangungurakot gamit ang covid kuno, nauubos lang ang pera ng pilinas dahil diyan sa walang kakwenta kwentang covid"
"TheKamotechunks","I don't really care who is the president during the election but I am really scared. he doesn't even know what inflation is. time to migrate i think."
"Moi Caburas","Ilabas na ang tallano gold!"
"John Legaspi","haha. yun lang. hahaha"
"Arnel Anngustia","Salamat po tuloy lang po Tayo"
"Gol D. Roger","Wag mo na tingnan ang datos kumilos ka na lang para hindi tayo lagi umaasa sa imported products.

Kahit sa langis na lang tayo i-focus ang import habang yung mga fertilizer dito na lang gawin at iba pang imported products na pwede naman dito gawin."
"Aldrin Empalmado","Wag ka mgalala Jr, kasi mas kapani paniwala ang PSA kesa sau.."
"good idea","Cash is trash whats the hedge of inflation"
"Donalyn Dizon","Oh well, when you're a liar, it seems that everyone is lying to you also :)"
"Lorna Pesco","Bakit ba ang daming bad comment hindi naman kasalanan ng presidente yan inflation, paano grabeng pagtaas ng dollar kaya huwag nalang tayong mag comment alam niya kung ano ang gagawin dyan, naku kung iba ang naging presidente sobrang lugmok tayo kung empty ang cerebrum"
"Mortimer Goth","Golden era marcos, gold lahat ng presyo."
"Ray Weston","haahhahaha buang"
"machester edt.","As expected from Filipinos, react agad "
"Hero Ambaleng","Imagine kung si leni ang naging president haha wala na puro kamehame wave gagawin nya"
"francis tan","???"
"Precious Life Stories","Sa mga taong nagagalit dahil mataas ang inflation sa pinas mag aral po kayo , alamin nyo po ang mga nangyayari sa mundo. Sobrang taas po ng inflation hindi lang sa pinas kundi sa buong mundo dahil sa walang katapusang sanctions ng US and Collective West against the one of the biggest commodity based na bansa which is Russia. Hindi lang pinas ang may nagtataasang prices, even US is now draining their oil reserves, and experiencing food and baby formula shortages."
"Hein S","DROP OUT "
"Logolas","Bakit kaya sa komento walang sinisisi sa nakaraang Administrasyon.."
"Maddie’s Garden","Wag nang mag comment about inflation Kung di naiintindihan ang economics."
"mc","unity sagot diyan"
"skipthelou","Yan ang sagot pagbobo ang isang presidente"
"Zhie Chen","Huh?? Ano daw?? Napaka incoherent naman jusko"
"dave gueba","alam nya yung ibang aspects na nakaka apekto sa inflation, hindi siya basta mag aagree dahil alam nya ganyan siya.ka brilliant"
"blitzzkrieg","You disagree with the statistics becaude you do not seem to feel the effects of inflation, given the extravagance of your family"
"Stiven Florez","Haha bleng blong disagree"
"Sukuna","END THE WAR IN UKRAINE. WE CANNOT SUPPORT A LOSING SIDE TO A WAR THAT HURTS THE WORLDS ECONOMIC STABILITY"
"MARIETTA LORENZO","Naguyaw ka u nu dakayo kona ti agsao kabaelan u ngata?"
"Melchor Amorada","Pag si Pacyaw nanalo mag Square ang triangle.."
"june reyes","di po pala sya naniniwala tungkol sa inflation so wala na po bang dapat gawin.  dapat tanungin po natin ung 31m na bumuto sa kanya kung totoo ba na ganun kataas ang bilihin.  wag po kayong mag alala tataas pa po ung presyo ng mga bilihin kaya humanda na tayong lahat. binuto nyo man syang presidente o hindi sama sama tayong mahihirapan. kung nakapag isip isip lang muna sila. "
"Aristotle II","Still drunk from 3 days of partying i see, what a joke."
"CLIFFORD MELENDEZ","6.1 % sa National Statistics Authority hindi ka maniwala? Sino paniniwalaan nya?"
"hacsa26a","Parang Well rehearsed...I hope may mga media n free nagtatanong s kanya..."
"Dean Cafe","31m voters, tingnan nyo kaobobhan nyo, pati na ng pinili nyo."
"Paolo","Hindi lang history ang gustong i-revise, pati pala inflation rate."
"dwarrobots online","Wala na TALO na Pinklawan. Kaya wag ng umasa. Wala din mangyayari, kung pagusapan pa. Maghihintay na lang kung sinu man iyon,  dapuan ng puso ko. Tuloy pa rin ako."
"neil armstrong","Ang daming kakampuki dito HAHAHA"
"Sisa Ako","May ibang  computation sya??  Doctorate ng economics?? Hahaha"
"Giandict Pacing","Mga hinayupak at mga nagmamarunong dito bakit d kayo ang tumakbong presidente ng malaman niyo mga pingsasabi niyo ang kakapal ng mga apog ng mga ito puna ng puna reklamo ng reklamo mga walang hiya itong mga hinayupak na ito"
"Galunggong Gaming","Nagdidisagree din ako sa 93 pesos na diesel. 40 pesos lang yan. Tatawid lang tayo sa 45 pesos next week. Kasalanan to ng dolyar kasi.

Pukingina mas magaling mag report ang HS students."
"graphix buddy","bolol"
"norie norie","Mabuhay BBM sarah DU30 blesss us all keep safe everyone"
"Sammyandtroy","Bbm"
"tainted dreams","Daming galit ah. Sige kayo na mag-presidente total magagaling pala kayo. Nag-disagree lang binanatan na ng sobra. Grabe kayo."
"Nicey Salcedo","Lagi nyo dinadahilan yung ibang bansa may inflation rin. Palusot. "
"Commander1612","Lol, a dictator does this for sure. President doesn’t control the numbers, period! A person would say that if stealing money is the idea. Someone with military experience or knowledge isn’t enough in the first place regardless of the outcome. Probably, he’s using that to start another Martial Law. Lastly, giving money out to win votes is total BS. How does P500 help your future? As years go on, you lose more than what he had given to you & it’s the consequence. Increase price while lying that they can lower & adjust it only to say “Sorry, not possible.” A bloody disgrace, no wonder why many educated Filipinos left."
"Jeffrey Olivan","Calling the attention of  Philippine Statistics Authority. Hindi daw kayo credible sabi ng nag gagaling galingan. Magbase na lang daw sa chismis kesa sa data analysis."
"The BBC","Pano obob"
"juniper","disagrees on factual data bruh this yalls president?"
"Dean Cafe","Ito napala natin dahil sa pagpili ng mga obob ke duterte.. Best ever president kunoh... Pwe!!!"
"G","ambobo talaga"
"Aer Tols","Pinklawan tlga mga salot at demonyo.. nagka leche2x ang Pilipinas dahil sa inyo Pinklawans"
"Phil Maharlika Jr.","He disagrees becuase that number did not come from his economic team…which happens to be now the official goverment of the Philippines…he just came from the cabinet meeting…and has all the latest official assesment—-he has all the reason to correct the figures floated by the media if it does not reflect the government’s figure…what ever their figures are already deemed superseded."
"bryan297","Pulos deny lang ng deny walang masabing plano o solusyon ano yun? haha"
"Lunoxicity","Please speak fluently"
"tristan castrodes","Daming bitter .di parin naka pag move on.baka ma stroke kayu.bitter pinklawan."
"badfoody","yan ang presidente naten

walang alam"
"Shojoji Dwarf","Di'parin NILAYASAN c BBM sa ""SANIB"" nang masamang Espirito nang KASINUNGALINGAN...siya parin ang may hawak nang Record na The Greatest PATHOLOGICAL LIAR in Philippines History."
"iam Mickey","mukhang nakashabu"
"Jun Sacay","Bbm is mixed up and confusing on economic terms"
"rv","Mr.utal utal"
"thunder magno","Kung Si Leni Pa Yan 

Lutang Na Tayo "
"bulan","he knowns what to do wag kayo puro kuda wala naman kayo maitutulong magtrabaho na lang kayong mabuti  alam nyo kakaumpisa pa lang sya pinag aaralan pa nya lahat ng pagbabago sa administration nya  lumaki sya sa malacañang kaya mas alam nya yan kaysa sa inyo .."
